id,title,original_language,avg_vote,vote_count,popularity,genres,release_date,adult
19404,Dilwale Dulhania Le Jayenge,hi,8.8,2238,29.678,"[35, 18, 10749]",1995-10-20,False
278,The Shawshank Redemption,en,8.7,15621,60.172,"[80, 18]",1994-09-23,False
238,The Godfather,en,8.7,11863,49.204,"[80, 18]",1972-03-14,False
424,Schindler's List,en,8.6,9431,30.759,"[18, 36, 10752]",1993-11-30,False
42269,We All Loved Each Other So Much,it,8.6,213,7.769,"[35, 18]",1974-12-21,False
240,The Godfather: Part II,en,8.6,6975,39.721,"[80, 18]",1974-12-20,False
372058,Your Name.,ja,8.5,5271,41.449,"[16, 18, 10749]",2016-08-26,False
496243,Parasite,ko,8.5,6270,124.672,"[35, 18, 53]",2019-05-30,False
129,Spirited Away,ja,8.5,9075,56.612,"[16, 14, 10751]",2001-07-20,False
497,The Green Mile,en,8.5,9833,39.732,"[80, 18, 14]",1999-12-10,False
680,Pulp Fiction,en,8.5,18110,47.422,"[80, 53]",1994-09-10,False
637,Life Is Beautiful,it,8.5,8543,33.158,"[35, 18]",1997-12-20,False
620683,My Mom is a Character 3,pt,8.5,227,13.628,[35],2019-12-26,False
13,Forrest Gump,en,8.4,17449,41.598,"[35, 18, 10749]",1994-07-06,False
311,Once Upon a Time in America,en,8.4,2797,28.864,"[18, 80]",1984-05-23,False
122,The Lord of the Rings: The Return of the King,en,8.4,15059,55.47,"[28, 12, 14]",2003-12-01,False
155,The Dark Knight,en,8.4,21658,57.006,"[28, 80, 18, 53]",2008-07-16,False
769,GoodFellas,en,8.4,7057,36.205,"[80, 18]",1990-09-12,False
346,Seven Samurai,ja,8.4,1806,28.158,"[28, 18]",1954-04-26,False
429,"The Good, the Bad and the Ugly",it,8.4,4844,35.398,[37],1966-12-23,False
11216,Cinema Paradiso,it,8.4,2173,24.39,"[18, 10749]",1988-11-17,False
389,12 Angry Men,en,8.4,4516,27.336,[18],1957-04-10,False
539,Psycho,en,8.4,5999,30.252,"[27, 18, 53]",1960-06-22,False
550,Fight Club,en,8.4,18753,42.621,[18],1999-10-15,False
40096,A Dog's Will,pt,8.4,584,11.522,"[12, 35]",2000-09-15,False
510,One Flew Over the Cuckoo's Nest,en,8.4,6472,29.863,[18],1975-11-18,False
598,City of God,pt,8.4,4037,25.337,"[80, 18]",2002-02-05,False
324857,Spider-Man: Into the Spider-Verse,en,8.4,6797,53.252,"[28, 12, 16, 35, 878]",2018-12-06,False
901,City Lights,xx,8.4,1093,14.639,"[35, 18, 10749]",1931-02-01,False
599,Sunset Boulevard,en,8.4,1298,19.243,[18],1950-08-10,False
244786,Whiplash,en,8.4,9370,43.66,"[18, 10402]",2014-10-10,False
637920,Miracle in Cell No. 7,tr,8.4,1927,78.94,"[35, 18, 10751]",2019-10-10,False
914,The Great Dictator,en,8.4,1795,18.324,[35],1940-10-15,False
73,American History X,en,8.4,7135,29.167,[18],1998-10-30,False
12477,Grave of the Fireflies,ja,8.4,2562,0.6,"[16, 18, 10752]",1988-04-16,False
18491,Neon Genesis Evangelion: The End of Evangelion,ja,8.4,505,13.609,"[18, 878, 16]",1997-07-19,False
432517,Sherlock: The Final Problem,en,8.4,786,9.835,"[18, 9648]",2017-01-15,False
18148,Tokyo Story,ja,8.4,453,13.675,[18],1953-11-03,False
4935,Howl's Moving Castle,ja,8.4,4814,41.612,"[12, 16, 14]",2004-11-19,False
1891,The Empire Strikes Back,en,8.4,11219,38.356,"[28, 12, 878]",1980-05-20,False
26451,Investigation of a Citizen Above Suspicion,it,8.4,323,8.611,"[80, 18]",1970-11-13,False
3782,Ikiru,ja,8.4,478,16.964,[18],1952-10-09,False
128,Princess Mononoke,ja,8.4,4532,38.283,"[12, 14, 16]",1997-07-12,False
975,Paths of Glory,en,8.4,1446,18.222,"[18, 10752]",1957-09-18,False
313106,Doctor Who: The Day of the Doctor,en,8.4,551,12.185,"[878, 12]",2013-11-23,False
14537,Harakiri,ja,8.3,326,13.92,"[28, 18, 36]",1962-09-15,False
567,Rear Window,en,8.3,3524,22.405,"[18, 9648, 53]",1954-09-01,False
25237,Come and See,ru,8.3,429,16.141,"[18, 36, 10752]",1985-07-01,False
