id,title,original_language,avg_vote,vote_count,popularity,genres,release_date
19404,Dilwale Dulhania Le Jayenge,hi,8.8,2238,29.678,"[35, 18, 10749]",1995-10-20
42269,We All Loved Each Other So Much,it,8.6,213,7.769,"[35, 18]",1974-12-21
372058,Your Name.,ja,8.5,5271,41.449,"[16, 18, 10749]",2016-08-26
496243,Parasite,ko,8.5,6270,124.67200000000001,"[35, 18, 53]",2019-05-30
129,Spirited Away,ja,8.5,9075,56.611999999999995,"[16, 14, 10751]",2001-07-20
637,Life Is Beautiful,it,8.5,8543,33.158,"[35, 18]",1997-12-20
620683,My Mom is a Character 3,pt,8.5,227,13.628,[35],2019-12-26
346,Seven Samurai,ja,8.4,1806,28.158,"[28, 18]",1954-04-26
429,"The Good, the Bad and the Ugly",it,8.4,4844,35.398,[37],1966-12-23
11216,Cinema Paradiso,it,8.4,2173,24.39,"[18, 10749]",1988-11-17
40096,A Dog's Will,pt,8.4,584,11.522,"[12, 35]",2000-09-15
598,City of God,pt,8.4,4037,25.337,"[80, 18]",2002-02-05
901,City Lights,xx,8.4,1093,14.639000000000001,"[35, 18, 10749]",1931-02-01
637920,Miracle in Cell No. 7,tr,8.4,1927,78.94,"[35, 18, 10751]",2019-10-10
12477,Grave of the Fireflies,ja,8.4,2562,0.6,"[16, 18, 10752]",1988-04-16
18491,Neon Genesis Evangelion: The End of Evangelion,ja,8.4,505,13.609000000000002,"[18, 878, 16]",1997-07-19
18148,Tokyo Story,ja,8.4,453,13.675,[18],1953-11-03
4935,Howl's Moving Castle,ja,8.4,4814,41.611999999999995,"[12, 16, 14]",2004-11-19
26451,Investigation of a Citizen Above Suspicion,it,8.4,323,8.611,"[80, 18]",1970-11-13
3782,Ikiru,ja,8.4,478,16.964000000000002,[18],1952-10-09
128,Princess Mononoke,ja,8.4,4532,38.283,"[12, 14, 16]",1997-07-12
14537,Harakiri,ja,8.3,326,13.92,"[28, 18, 36]",1962-09-15
25237,Come and See,ru,8.3,429,16.141,"[18, 36, 10752]",1985-07-01
797,Persona,sv,8.3,963,16.51,[18],1966-10-18
20914,My Friends,it,8.3,389,7.519,[35],1975-08-15
11659,The Best of Youth,it,8.3,278,8.572000000000001,"[18, 10749]",2003-06-22
10376,The Legend of 1900,it,8.3,1334,16.848,"[18, 10402, 10749]",1998-10-28
24188,Il Sorpasso,it,8.3,317,9.06,"[35, 18]",1962-12-04
12493,High and Low,ja,8.3,278,10.456,"[80, 18, 9648, 53]",1963-03-01
290098,The Handmaiden,ko,8.3,1626,24.523000000000003,"[18, 53, 10749]",2016-06-01
335,Once Upon a Time in the West,it,8.3,2432,25.059,[37],1968-12-21
24382,Big Deal on Madonna Street,it,8.3,348,10.405999999999999,"[35, 80]",1958-06-06
1398,Stalker,ru,8.3,927,25.088,"[18, 878]",1979-05-25
422,8½,it,8.3,1156,19.921,"[14, 18]",1963-02-14
895,Andrei Rublev,ru,8.3,348,12.321,"[18, 36]",1966-12-16
378064,A Silent Voice,ja,8.3,1497,27.991,"[18, 16, 10749]",2016-09-17
531428,Portrait of a Lady on Fire,fr,8.3,505,32.415,"[18, 10749]",2019-06-17
5156,Bicycle Thieves,it,8.3,1172,18.264,[18],1948-11-24
670,Oldboy,ko,8.2,4580,27.816,"[28, 18, 9648, 53]",2003-11-21
517814,Capernaum,ar,8.2,673,20.329,[18],2018-10-06
77338,The Intouchables,fr,8.2,11356,42.833,"[35, 18]",2011-11-02
110420,Wolf Children,ja,8.2,1253,18.612000000000002,"[16, 18, 14, 10751]",2012-07-21
490,The Seventh Seal,sv,8.2,1477,20.691,"[14, 18]",1957-02-16
28422,Love Exposure,ja,8.2,211,11.885,"[28, 35, 18, 10749]",2009-01-31
19,Metropolis,de,8.2,1419,18.275,"[18, 878]",1927-01-10
11878,Yojimbo,ja,8.2,679,15.536,"[18, 53]",1961-04-25
9764,Dersu Uzala,ru,8.2,206,8.737,"[28, 12, 18]",1975-08-02
446159,Bacurau,pt,8.2,387,14.699000000000002,"[9648, 53, 37]",2019-08-29
437068,A Taxi Driver,ko,8.2,258,12.56,"[18, 36, 28]",2017-08-02
10494,Perfect Blue,ja,8.2,879,18.805999999999997,"[16, 53]",1997-07-25
579245,The Specials,fr,8.2,295,29.605999999999998,"[35, 18]",2019-10-23
38288,I Corti,it,8.2,290,7.704,[35],1996-01-01
429210,Bingo: The King of the Mornings,pt,8.2,227,7.249,"[35, 18]",2017-08-24
614,Wild Strawberries,sv,8.2,763,13.91,[18],1957-12-26
439,La Dolce Vita,it,8.2,917,13.573,"[35, 18]",1960-02-05
548,Rashomon,ja,8.2,1044,17.713,"[80, 18, 9648]",1950-08-26
411088,The Invisible Guest,es,8.2,2279,47.063,"[80, 9648, 53]",2016-09-22
1396,Mirror,ru,8.2,419,13.937000000000001,"[18, 36]",1975-03-07
833,Umberto D.,it,8.2,287,10.852,[18],1952-01-20
780,The Passion of Joan of Arc,fr,8.2,413,13.337,"[18, 36]",1928-04-21
538362,On My Skin,it,8.2,1339,15.958,[18],2018-08-29
14696,Ugetsu,ja,8.1,240,10.9,"[14, 18, 9648]",1953-03-26
147,The 400 Blows,fr,8.1,988,12.255,[18],1959-05-04
11645,Ran,ja,8.1,720,16.493,"[28, 18, 36]",1985-06-01
149871,The Tale of the Princess Kaguya,ja,8.1,822,17.601,"[16, 18, 14]",2013-11-23
832,M,de,8.1,1055,17.669,"[28, 80, 18, 53]",1931-05-11
19426,Nights of Cabiria,it,8.1,321,11.134,[18],1957-10-03
92321,Hotarubi no Mori e,ja,8.1,341,0.6,"[16, 14, 10749]",2011-09-17
1059,The Hidden Fortress,ja,8.1,252,11.248,"[28, 12, 35, 18]",1958-12-28
11712,Sanjuro,ja,8.1,265,9.323,"[18, 28, 35]",1962-01-01
160885,Tel chi el telùn,it,8.1,249,6.404,[35],2009-03-01
12761,Autumn Sonata,sv,8.1,204,9.863,[18],1978-10-08
843,In the Mood for Love,cn,8.1,1045,20.664,"[18, 10749]",2000-05-22
2517,Nobody Knows,ja,8.1,204,10.224,[18],2004-08-07
8392,My Neighbor Totoro,ja,8.1,4248,50.41,"[16, 14, 10751]",1988-04-16
42229,A Special Day,it,8.1,318,8.722000000000001,"[18, 10749]",1977-08-11
666,Central Station,pt,8.1,387,9.412,[18],1998-11-20
237791,The Way He Looks,pt,8.1,652,10.367,"[18, 10749]",2014-03-28
