id,imdb_id,budget,revenue,genre_names,original_title,runtime,status,countries,title,original_language,avg_vote,vote_count,popularity,genres,year,90s,00s,10s,Drama,Thriller,Romance,Adventure,Action,History,Comedy,Mystery,Fantasy,Animation,Family,Crime,War,Science Fiction,Horror,Music,Western,TV Movie,profit,profit_margin
55,tt0245712,2000000.0,20908467.0,"['Drama', 'Thriller']",Amores perros,154.0,Released,['Mexico'],Amores Perros,Spanish,7.6,1257,16.137,"[18, 53]",2000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18908467.0,90.4
64,tt0287467,,64790996.0,"['Drama', 'Romance']",Hable con ella,112.0,Released,['Spain'],Talk to Her,Spanish,7.6,639,12.528,"[18, 10749]",2002,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
79,tt0299977,31000000.0,177395557.0,"['Drama', 'Adventure', 'Action', 'History']",英雄,99.0,Released,['China'],Hero,Chinese,7.5,1261,24.119,"[18, 12, 28, 36]",2002,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,146395557.0,82.5
99,tt0185125,8272296.0,67952969.0,"['Comedy', 'Drama']",Todo sobre mi madre,101.0,Released,"['Spain', 'France']",All About My Mother,Spanish,7.7,932,14.084,"[35, 18]",1999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59680673.0,87.8
104,tt0130827,1530000.0,7267585.0,"['Action', 'Drama', 'Thriller']",Lola rennt,81.0,Released,['Germany'],Run Lola Run,German,7.3,1247,15.865,"[28, 18, 53]",1998,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5737585.0,78.9
108,tt0108394,,1324974.0,['Drama'],Trois couleurs : Bleu,98.0,Released,"['France', 'Poland']",Three Colors: Blue,French,7.8,787,13.705,[18],1993,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
109,tt0111507,,1237219.0,"['Comedy', 'Drama', 'Mystery']",Trois couleurs : Blanc,92.0,Released,"['France', 'Poland']",Three Colors: White,French,7.5,537,11.747,"[35, 18, 9648]",1994,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,
110,tt0111495,,3581969.0,"['Drama', 'Mystery', 'Romance']",Trois couleurs : Rouge,100.0,Released,"['France', 'Poland', 'Switzerland']",Three Colors: Red,French,8.1,631,13.444,"[18, 9648, 10749]",1994,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
113,tt0374546,,10991329.0,['Drama'],봄 여름 가을 겨울 그리고 봄,103.0,Released,"['South Korea', 'Germany']","Spring, Summer, Fall, Winter... and Spring",Korean,7.9,554,17.945999999999994,[18],2003,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
128,tt0119698,26500000.0,162112497.0,"['Adventure', 'Fantasy', 'Animation']",もののけ姫,134.0,Released,['Japan'],Princess Mononoke,Japanese,8.4,4532,38.283,"[12, 14, 16]",1997,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135612497.0,83.7
129,tt0245429,19000000.0,347742810.0,"['Animation', 'Family', 'Fantasy']",千と千尋の神隠し,125.0,Released,['Japan'],Spirited Away,Japanese,8.5,9075,56.612,"[16, 14, 10751]",2001,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,328742810.0,94.5
140,tt0275491,5000000.0,40423279.0,"['Crime', 'Drama', 'Romance', 'Thriller', 'Mystery']",La mala educación,106.0,Released,['Spain'],Bad Education,Spanish,7.4,500,13.838,"[80, 18, 9648, 53, 10749]",2004,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,35423279.0,87.6
145,tt0115751,,3803298.0,"['Drama', 'Romance']",Breaking the Waves,159.0,Released,"['Denmark', 'France', 'Iceland', 'Netherlands', 'Norway', 'Sweden']",Breaking the Waves,Danish,7.4,527,12.068,"[18, 10749]",1996,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
146,tt0190332,17000000.0,213525736.0,"['Adventure', 'Drama', 'Action', 'Romance']",卧虎藏龙,120.0,Released,"['China', 'Hong Kong', 'Taiwan', 'United States of America']","Crouching Tiger, Hidden Dragon",Chinese,7.3,1861,27.333,"[12, 18, 28, 10749]",2000,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,196525736.0,92.0
158,tt0119472,,,"['Comedy', 'Crime']",Knockin' on Heaven's Door,87.0,Released,['Germany'],Knockin' on Heaven's Door,German,7.7,248,12.358,"[35, 80]",1997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,
194,tt0211915,10000000.0,173924742.0,"['Comedy', 'Romance']",Le Fabuleux Destin d'Amélie Poulain,122.0,Released,"['France', 'Germany']",Amélie,French,7.9,7308,32.883,"[35, 10749]",2001,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,163924742.0,94.3
219,tt0441909,12899867.0,85585177.0,"['Comedy', 'Drama', 'Romance']",Volver,121.0,Released,['Spain'],Volver,Spanish,7.5,926,9.989,"[35, 18, 10749]",2006,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72685310.0,84.9
246,tt0363226,,34196922.0,"['Adventure', 'Drama', 'Action']",座頭市,111.0,Released,['Japan'],Zatoichi,Japanese,7.3,441,12.031,"[12, 18, 28]",2003,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
267,tt0118819,,1785901.0,"['Drama', 'Romance', 'Thriller']",Carne trémula,103.0,Released,"['France', 'Spain']",Live Flesh,Spanish,7.1,263,9.436,"[18, 53, 10749]",1997,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
300,tt0354899,6000000.0,15116179.0,"['Comedy', 'Drama', 'Fantasy']",La Science des rêves,105.0,Released,"['France', 'Italy']",The Science of Sleep,French,7.0,437,8.48,"[35, 18, 14]",2006,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9116179.0,60.3
309,tt0154420,1300000.0,1656223.0,['Drama'],Festen,105.0,Released,"['Denmark', 'Sweden']",The Celebration,Danish,7.8,464,11.41,[18],1998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356223.0,21.5
327,tt0222851,12000000.0,15250594.0,"['Crime', 'Drama', 'Thriller']",Brother,114.0,Released,['Japan'],Brother,Japanese,7.0,200,9.715,"[80, 18, 53]",2000,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3250594.0,21.3
338,tt0301357,4800000.0,79316957.0,"['Comedy', 'Drama']",Good Bye Lenin!,121.0,Released,['Germany'],Good Bye Lenin!,German,7.5,1321,15.435,"[35, 18]",2003,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74516957.0,93.9
363,tt0347048,,11065801.0,"['Drama', 'Romance']",Gegen die Wand,121.0,Released,"['Germany', 'Turkey']",Head-On,German,7.5,285,9.918,"[18, 10749]",2004,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
406,tt0113247,2600000.0,280859.0,['Drama'],La Haine,98.0,Released,['France'],La Haine,French,8.1,1887,18.283,[18],1995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2319141.0,-825.7
436,tt0390221,,12594630.0,"['Drama', 'Thriller', 'Crime']","María, llena eres de gracia",101.0,Released,"['Ecuador', 'Colombia', 'United States of America']",Maria Full of Grace,Spanish,7.3,205,7.474,"[18, 53, 80]",2004,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
445,tt0387898,8731048.0,16197824.0,"['Mystery', 'Drama', 'Thriller']",Caché,117.0,Released,"['Austria', 'France', 'Germany', 'Italy']",Caché,French,7.2,518,9.066,"[18, 9648, 53]",2005,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7466776.0,46.1
452,tt0154421,2500000.0,,"['Drama', 'Comedy']",Idioterne,117.0,Released,"['Denmark', 'France', 'Germany', 'Italy', 'Netherlands', 'Sweden']",The Idiots,Danish,6.6,265,18.238,"[35, 18]",1998,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
575,tt0250258,,13782896.0,"['Drama', 'Thriller']",Das Experiment,114.0,Released,['Germany'],The Experiment,German,7.5,636,14.23,"[18, 53]",2001,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
582,tt0405094,2000000.0,77356942.0,"['Drama', 'Thriller']",Das Leben der Anderen,137.0,Released,['Germany'],The Lives of Others,German,8.1,2052,20.608,"[18, 53]",2006,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75356942.0,97.4
598,tt0317248,3300000.0,30680793.0,"['Drama', 'Crime']",Cidade de Deus,130.0,Released,['Brazil'],City of God,Portuguese,8.4,4037,25.337,"[80, 18]",2002,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27380793.0,89.2
613,tt0363163,18339750.0,92181574.0,"['Drama', 'History', 'War']",Der Untergang,156.0,Released,"['Austria', 'Germany', 'Italy']",Downfall,German,7.8,2093,17.303,"[18, 36, 10752]",2004,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,73841824.0,80.1
637,tt0118799,20000000.0,230098753.0,"['Comedy', 'Drama']",La vita è bella,116.0,Released,['Italy'],Life Is Beautiful,Italian,8.5,8543,33.158,"[35, 18]",1997,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,210098753.0,91.3
647,tt0385700,,,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction']",Final Fantasy VII: Advent Children,101.0,Released,['Japan'],Final Fantasy VII: Advent Children,Japanese,6.8,546,28.718000000000004,"[28, 12, 16, 14, 878]",2005,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,,
666,tt0140888,2900000.0,5971073.0,['Drama'],Central do Brasil,113.0,Released,['Brazil'],Central Station,Portuguese,8.1,387,9.412,[18],1998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071073.0,51.4
670,tt0364569,3000000.0,14999673.0,"['Drama', 'Thriller', 'Mystery', 'Action']",올드보이,120.0,Released,['South Korea'],Oldboy,Korean,8.2,4580,27.816,"[28, 18, 9648, 53]",2003,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11999673.0,80.0
843,tt0118694,,12854953.0,"['Drama', 'Romance']",花樣年華,99.0,Released,"['China', 'Hong Kong']",In the Mood for Love,Chinese,8.1,1045,20.664,"[18, 10749]",2000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
844,tt0212712,12000000.0,19470239.0,"['Fantasy', 'Drama', 'Science Fiction', 'Romance']",2046,128.0,Released,"['Germany', 'Hong Kong', 'China', 'France', 'Italy']",2046,Chinese,7.2,417,10.868,"[18, 14, 878, 10749]",2004,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7470239.0,38.4
892,tt0101700,4000000.0,1794187.0,"['Comedy', 'Science Fiction', 'Fantasy']",Delicatessen,99.0,Released,['France'],Delicatessen,French,7.4,717,14.514,"[35, 14, 878]",1991,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-2205813.0,-122.9
902,tt0112682,18000000.0,1781465.0,"['Fantasy', 'Science Fiction', 'Adventure']",La Cité des Enfants Perdus,108.0,Released,"['Germany', 'Belgium', 'Spain', 'United States of America', 'France']",The City of Lost Children,French,7.5,574,15.187,"[12, 14, 878]",1995,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-16218535.0,-910.4
979,tt0290673,,6479328.0,"['Drama', 'Thriller', 'Crime', 'Mystery']",Irréversible,93.0,Released,['France'],Irreversible,French,7.2,1298,21.575,"[18, 53, 80, 9648]",2002,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
1023,tt0418455,3700000.0,2421577.0,"['Drama', 'Comedy', 'Crime']",Adams æbler,94.0,Released,"['Denmark', 'Germany']",Adam's Apples,Danish,7.5,369,11.459,"[18, 35, 80]",2005,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1278423.0,-52.8
1075,tt0118843,,351447.0,"['Comedy', 'Romance']","Crna mačka, beli mačor",127.0,Released,"['Serbia', 'Romania', 'Germany', 'Austria', 'France']","Black Cat, White Cat",Serbian,7.8,364,10.261,"[35, 10749]",1998,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
1254,tt0485241,,6334790.0,['Drama'],"Je vais bien, ne t'en fais pas",96.0,Released,['France'],"Don't Worry, I'm Fine",French,7.3,381,9.588,[18],2006,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1255,tt0468492,11000000.0,89433436.0,"['Horror', 'Drama', 'Science Fiction']",괴물,120.0,Released,['South Korea'],The Host,Korean,6.9,1321,21.884,"[18, 27, 878]",2006,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,78433436.0,87.7
1280,tt0423866,,3403957.0,"['Drama', 'Romance', 'Crime']",빈집,88.0,Released,"['South Korea', 'Japan']",3-Iron,Korean,7.8,579,11.149,"[80, 18, 10749]",2004,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
