imdb_id,cumulative_revenue
tt0245712,"$20,908,467"
tt0287467,"$64,790,996"
tt0299977,"$177,395,557"
tt0185125,"$67,952,969"
tt0130827,"$7,267,585"
tt0108394,"$1,324,974"
tt0111507,"$1,237,219"
tt0111495,"$3,581,969"
tt0374546,"$10,991,329"
tt0119698,"$162,112,497"
tt0245429,"$347,742,810"
tt0275491,"$40,423,279"
tt0115751,"$3,803,298"
tt0190332,"$213,525,736"
tt0119472,"$5,710"
tt0211915,"$173,924,742"
tt0441909,"$85,585,177"
tt0363226,"$34,196,922"
tt0118819,"$1,785,901"
tt0354899,"$15,116,179"
tt0154420,"$1,656,223"
tt0222851,"$15,250,594"
tt0301357,"$79,316,957"
tt0347048,"$11,065,801"
tt0113247,"$280,859"
tt0390221,"$12,594,630"
tt0387898,"$16,197,824"
tt0154421,nan
tt0250258,"$13,782,896"
tt0405094,"$77,356,942"
tt0317248,"$30,680,793"
tt0363163,"$92,181,574"
tt0118799,"$230,098,753"
tt0385700,nan
tt0140888,"$5,971,073"
tt0364569,"$14,999,673"
tt0118694,"$12,854,953"
tt0212712,"$19,470,239"
tt0101700,"$1,794,187"
tt0112682,"$1,781,465"
tt0290673,"$6,479,328"
tt0418455,"$2,421,577"
tt0118843,"$351,447"
tt0485241,"$6,334,790"
tt0468492,"$89,433,436"
tt0423866,"$3,403,957"
tt0254455,"$7,640,680"
tt0245574,"$33,616,692"
tt0450188,"$86,274,793"
tt0457430,"$83,850,267"
tt0256009,"$6,582,065"
tt0473444,"$78,568,977"
tt0411270,"$11,757,109"
tt0283900,"$33,272,835"
tt0157016,"$6,955"
tt0101765,"$2,155,121"
tt0318462,"$57,663,224"
tt0254686,"$6,765,335"
tt0409184,"$23,727,301"
tt0125659,"$377,967"
tt0369702,"$43,731,621"
tt0283832,"$42,426,583"
tt0416496,"$18,381,890"
tt1032846,"$10,174,839"
tt0808417,"$22,783,978"
tt0401383,"$19,780,116"
tt0444182,"$22,963,701"
tt0274155,"$24,273,604"
tt0117407,"$1,605"
tt0281364,"$10,366,360"
tt0426578,"$10,804,315"
tt0401711,"$17,471,727"
tt0409904,"$42,918,532"
tt0152930,nan
tt0183869,"$60,726,164"
tt0295721,"$65,497,208"
tt0804540,"$65,125,001"
tt0463872,"$131,856,927"
tt0260991,"$124,071"
tt0408664,"$2,288,093"
tt0178868,"$59,001"
tt0344510,"$69,424,389"
tt0792965,"$31,920,899"
tt0250223,"$128,027,976"
tt0403358,"$50,336,279"
tt0266308,"$958,989"
tt0338763,"$14,902,587"
tt0199683,"$461,259"
tt0451094,"$23,834,149"
tt0365376,"$1,045,252"
tt0808357,"$67,091,915"
tt0310775,"$2,046,061"
tt0347149,"$236,212,992"
tt0851578,"$944,915"
tt0756648,"$29,610,210"
tt0497137,"$4,642,401"
tt0372824,"$88,385,944"
tt0314063,"$7,172,452"
tt1016301,"$1,028,290"
tt0119250,"$500,000"
tt0960790,"$81,744,033"
tt0120185,"$29,342,592"
tt0237534,"$70,752,904"
tt0464141,"$78,638,987"
tt0482088,"$28,041,861"
tt0765432,"$26,937,355"
tt0310203,"$27,729,359"
tt0390808,nan
tt0861739,"$14,759,148"
tt0108188,"$58,834"
tt0986264,"$21,897,373"
tt0446059,"$68,072,848"
tt1063669,"$32,350,637"
tt0813547,"$18,814,713"
tt0405508,"$8,846,694"
tt0913425,"$37,472,507"
tt1064932,"$245,144,417"
tt1038988,"$32,511,655"
tt0283509,"$4,858,869"
tt0248408,"$75,675,074"
tt0364517,"$8,604,201"
tt0293007,"$10,781,635"
tt0127357,nan
tt0456123,"$844,711"
tt0875113,"$13,444,973"
tt1023490,"$11,260,366"
tt1068646,"$29,303,505"
tt0929425,"$68,089,668"
tt0427954,"$27,165,581"
tt0389557,"$26,768,563"
tt0117883,"$14,227"
tt0368909,"$20,235,426"
tt0113568,"$515,905"
tt0104815,"$2,040,920"
tt0109162,nan
tt0116704,"$21,890,845"
tt0119038,"$4,071,548"
tt0373074,"$104,882,445"
tt1029234,"$1,149,138"
tt0385004,"$92,863,945"
tt0133385,"$1,632,567"
tt0164961,"$13,240,767"
tt0293416,"$4,035,192"
tt0371552,"$22,501,596"
tt0286244,"$14,776,760"
tt0296042,"$80,631"
tt0846040,"$12,894,062"
tt0454970,"$14,756,513"
tt0349047,"$76,341,401"
tt0414852,"$11,169,386"
tt0103905,"$205,569"
tt0338095,"$6,291,958"
tt0190641,"$163,644,662"
tt0119167,nan
tt0118996,nan
tt0120882,"$146,072"
tt0120731,"$20,965,117"
tt0325655,"$12,165,016"
tt0101640,"$2,603,061"
tt0156887,"$563,130"
tt0255477,"$44,310,395"
tt0117786,"$18,814,720"
tt1245112,"$18,853,164"
tt0112922,nan
tt0248126,"$11,334,547"
tt0338564,"$8,836,958"
tt0362225,"$33,428,799"
tt0944834,"$12,389,088"
tt0465203,"$5,822,116"
tt0419198,"$25,460,023"
tt0213847,"$14,493,284"
tt0368668,"$15,823,762"
tt0099558,"$10,405,394"
tt0235679,"$68,411,275"
tt0101316,"$4,899,194"
tt0106332,"$5,216,888"
tt0110877,"$21,898,920"
tt0235198,"$359,853"
tt0271668,"$50,097,949"
tt0108211,"$152,972"
tt0109424,"$630,512"
tt0104558,"$16,270,600"
tt1035736,"$50,812,934"
tt0293715,"$343,132"
tt0376968,"$8,482,993"
tt0112913,"$164,913"
tt0473753,"$9,995,168"
tt0275277,"$3,007,903"
tt0456912,"$10,080,094"
tt0401085,"$3,710,169"
tt0353969,"$927,398"
tt0243493,"$50,104,745"
tt0208990,"$11,767,402"
tt0111543,"$722,182"
tt0373690,"$9,661,031"
tt0104652,"$1,354,729"
tt0150662,"$219,331"
tt0386005,"$8,712,057"
tt0104029,"$621,392"
tt0386064,"$76,459,252"
tt0346336,"$2,799,773"
tt0424205,"$17,709,155"
tt0108500,"$659,810"
tt0286112,"$42,776,760"
tt0104684,nan
tt0364385,"$3,657,876"
tt0271946,"$790,144"
tt0114787,"$171,082"
tt0300140,"$1,007,747"
tt0347246,"$9,789,651"
tt0926759,"$13,247,396"
tt0308379,"$1,686,839"
tt0111512,"$11,555,430"
tt0416044,"$26,527,510"
tt0425637,"$129,710,514"
tt0265930,"$17,784,993"
tt0876563,"$203,204,882"
tt0210234,"$133,949,270"
tt0287635,"$28,023,563"
tt0312843,nan
tt0102164,"$626,057"
tt0381348,nan
tt0473829,nan
tt1139797,"$11,227,336"
tt0856288,"$792,184"
tt0388473,"$453,133"
tt0443584,"$7,450,832"
tt0814685,"$2,783,535"
tt1259014,"$31,076,533"
tt1130988,"$2,342,211"
tt0455142,"$1,623"
tt0940709,"$49,529,913"
tt0953369,"$23,963,065"
tt0450843,"$2,680,879"
tt1190539,"$36,495,748"
tt0808506,nan
tt1260502,"$489,807"
tt0480669,"$553,198"
tt0107692,"$1,073"
tt0808339,"$17,068,748"
tt1278340,"$2,166,797"
tt0354836,"$24,511,116"
tt1220719,"$22,108,789"
tt0901487,"$44,261,209"
tt0102587,"$545,825"
tt0109440,nan
tt0923811,"$16,299,520"
tt0464913,"$23,041,621"
tt0804507,"$3,119,957"
tt0110008,"$1,252,335"
tt1247640,"$14,103,752"
tt0411272,"$321,353"
tt0347618,"$54,505,478"
tt1326972,"$120,432,178"
tt0259060,nan
tt1132620,"$104,414,200"
tt1328642,"$16,578,105"
tt1167660,"$21,924,245"
tt1188988,"$16,843,486"
tt1275590,"$17,141,221"
tt0216651,"$151,086"
tt0758742,"$29,667,169"
tt0810827,"$47,919,757"
tt0785035,"$8,936,663"
tt0318034,"$8,690,168"
tt1069238,"$70,442,129"
tt0440803,"$6,989,456"
tt0412535,"$33,026,616"
tt0328955,"$22,288,364"
tt0110200,nan
tt0386695,"$20,537,839"
tt0926762,"$9,168,516"
tt0247586,"$12,413,888"
tt0118845,"$320,319"
tt1499666,"$3,732,224"
tt0283957,"$17,006,200"
tt0169858,nan
tt1314237,"$7,969,540"
tt1262877,"$25,661,127"
tt0439123,"$11,939,023"
tt0478566,"$10,890,811"
tt0112870,"$36,785"
tt1442519,"$25,132,462"
tt0169102,"$1,724,806"
tt0417944,"$22,281,609"
tt0847745,"$27,833,482"
tt1187043,"$60,262,836"
tt1361566,nan
tt0108432,"$87,738"
tt1127715,"$5,102,705"
tt0118849,"$933,933"
tt0181627,"$281,179"
tt0449851,"$29,414,553"
tt0445800,"$84,152,064"
tt1235166,"$17,874,044"
tt0109592,"$253,986"
tt0357111,"$13,315,054"
tt0953382,"$6,604,944"
tt1194616,"$32,764,784"
tt1194238,nan
tt0890885,"$11,203,911"
