,imdb_id,updated_budget
0,tt0245712,2000000.0
1,tt0287467,
2,tt0299977,31000000.0
3,tt0185125,
4,tt0130827,3500000.0
5,tt0108394,
6,tt0111507,
7,tt0111495,
8,tt0374546,
9,tt0119698,2400000000.0
10,tt0245429,19000000.0
11,tt0275491,5000000.0
12,tt0115751,
13,tt0190332,17000000.0
14,tt0119472,4300000.0
15,tt0211915,77000000.0
16,tt0441909,7450000.0
17,tt0363226,
18,tt0118819,
19,tt0354899,6000000.0
20,tt0154420,1300000.0
21,tt0222851,10000000.0
22,tt0301357,4800000.0
23,tt0347048,
24,tt0113247,2590000.0
25,tt0390221,3000000.0
26,tt0387898,8000000.0
27,tt0154421,2500000.0
28,tt0250258,
29,tt0405094,2000000.0
30,tt0317248,3300000.0
31,tt0363163,13500000.0
32,tt0118799,20000000.0
33,tt0385700,
34,tt0140888,2900000.0
35,tt0364569,3000000.0
36,tt0118694,
37,tt0212712,12000000.0
38,tt0101700,24000000.0
39,tt0112682,18000000.0
40,tt0290673,
41,tt0418455,
42,tt0118843,
43,tt0485241,
44,tt0468492,12215500000.0
45,tt0423866,1000000.0
46,tt0254455,
47,tt0245574,2000000.0
48,tt0450188,
49,tt0457430,13500000.0
50,tt0256009,4500000.0
51,tt0473444,45000000.0
52,tt0411270,5300000.0
53,tt0283900,5300000.0
54,tt0157016,
55,tt0101765,
56,tt0318462,
57,tt0254686,70000000.0
58,tt0409184,12500000.0
59,tt0125659,370000000.0
60,tt0369702,10000000.0
61,tt0283832,8000000.0
62,tt0416496,32000000.0
63,tt1032846,590000.0
64,tt0808417,7300000.0
65,tt0401383,
66,tt0444182,14500000.0
67,tt0274155,110000000.0
68,tt0117407,6000000.0
69,tt0281364,15300000.0
70,tt0426578,
71,tt0401711,13000000.0
72,tt0409904,4200000.0
73,tt0152930,53000000.0
74,tt0183869,70000000.0
75,tt0295721,14500000.0
76,tt0804540,
77,tt0463872,78000000.0
78,tt0260991,
79,tt0408664,
80,tt0178868,1200000.0
81,tt0344510,47000000.0
82,tt0792965,
83,tt0250223,327000000.0
84,tt0403358,4200000.0
85,tt0266308,4500000.0
86,tt0338763,9000000.0
87,tt0199683,
88,tt0451094,4200000000.0
89,tt0365376,
90,tt0808357,15000000.0
91,tt0310775,4000000.0
92,tt0347149,24000000.0
93,tt0851578,300000000.0
94,tt0756648,13000000.0
95,tt0497137,
96,tt0372824,5500000.0
97,tt0314063,22100000.0
98,tt1016301,
99,tt0119250,
100,tt0960790,4500000.0
101,tt0120185,25000000.0
102,tt0237534,30000000.0
103,tt0464141,3400000.0
104,tt0482088,11700000.0
105,tt0765432,20000000.0
106,tt0310203,27440000.0
107,tt0390808,13580000.0
108,tt0861739,4000000.0
109,tt0108188,
110,tt0986264,
111,tt0446059,
112,tt1063669,5000000.0
113,tt0813547,4200000.0
114,tt0405508,
115,tt0913425,18000000.0
116,tt1064932,11000000.0
117,tt1038988,1500000.0
118,tt0283509,2000000.0
119,tt0248408,7000000.0
120,tt0364517,
121,tt0293007,12000000.0
122,tt0127357,
123,tt0456123,3790000.0
124,tt0875113,12447638.0
125,tt1023490,5700000.0
126,tt1068646,
127,tt0929425,
128,tt0427954,200000000.0
129,tt0389557,21000000.0
130,tt0117883,721214.0
131,tt0368909,
132,tt0113568,600000000.0
133,tt0104815,7000.0
134,tt0109162,19000000.0
135,tt0116704,
136,tt0119038,82000000.0
137,tt0373074,20000000.0
138,tt1029234,6500000.0
139,tt0385004,100000000.0
140,tt0133385,274620000.0
141,tt0164961,152000000.0
142,tt0293416,15000000.0
143,tt0371552,
144,tt0286244,9500000.0
145,tt0296042,1400000.0
146,tt0846040,5000000.0
147,tt0454970,10000000.0
148,tt0349047,9000000.0
149,tt0414852,12000000.0
150,tt0103905,1000000.0
151,tt0338095,2200000.0
152,tt0190641,30000000.0
153,tt0119167,
154,tt0118996,33000000.0
155,tt0120882,140000000.0
156,tt0120731,9000000.0
157,tt0325655,4500000.0
158,tt0101640,
159,tt0156887,3000000.0
160,tt0255477,40000000.0
161,tt0117786,
162,tt1245112,5600000.0
163,tt0112922,2100000.0
164,tt0248126,350000000.0
165,tt0338564,6428966.0
166,tt0362225,11700000.0
167,tt0944834,11000000.0
168,tt0465203,
169,tt0419198,35000000.0
170,tt0213847,
171,tt0368668,27000000.0
172,tt0099558,115000000.0
173,tt0235679,16000000.0
174,tt0101316,
175,tt0106332,4000000.0
176,tt0110877,3000000.0
177,tt0235198,
178,tt0271668,
179,tt0108211,20000000.0
180,tt0109424,
181,tt0104558,900000.0
182,tt1035736,19430000.0
